ticket_id,customer_id,created_date,category,priority,status,resolution_time_hours,description
TKT-004412,CUST-00879,2025-05-02 10:00:00,billing,low,escalated,,Late fee dispute — customer says payment was submitted on time.
TKT-004413,CUST-02316,2025-12-30 17:00:00,upgrade,low,resolved,10.9,Customer wants to upgrade from DSL to fiber optic service.
TKT-004414,CUST-01427,2025-09-29 13:00:00,general,low,resolved,2.8,General inquiry about contract renewal terms.
TKT-004415,CUST-01137,2025-11-22 08:00:00,general,medium,resolved,4.0,Customer asking about available loyalty rewards.
TKT-004416,CUST-00665,2025-03-22 18:00:00,technical,low,resolved,45.9,VoIP call quality degradation — choppy audio and latency.
TKT-004417,CUST-00064,2025-02-16 19:00:00,cancellation,high,resolved,54.3,Account cancellation requested — switching to competitor.
TKT-004418,CUST-02362,2025-02-27 15:00:00,cancellation,high,escalated,,Cancellation request — customer relocating out of service area.
TKT-004419,CUST-03483,2025-12-16 08:00:00,general,high,resolved,26.2,Customer requesting update to account contact information.
TKT-004420,CUST-04094,2025-12-07 12:00:00,upgrade,low,resolved,6.9,Inquiry about adding streaming package to current plan.
TKT-004421,CUST-03346,2025-06-22 18:00:00,general,medium,resolved,11.1,General inquiry about contract renewal terms.
TKT-004422,CUST-01981,2025-09-08 19:00:00,cancellation,medium,resolved,78.3,Customer frustrated with service quality and wants to terminate.
TKT-004423,CUST-04633,2025-04-13 08:00:00,general,medium,open,,Customer inquiring about referral program benefits.
TKT-004424,CUST-04043,2025-08-22 17:00:00,cancellation,medium,resolved,15.8,Customer frustrated with service quality and wants to terminate.
TKT-004425,CUST-00504,2025-07-10 14:00:00,cancellation,high,open,,Customer threatening to cancel unless given a better rate.
TKT-004426,CUST-00567,2025-12-06 18:00:00,billing,medium,resolved,27.2,Late fee dispute — customer says payment was submitted on time.
TKT-004427,CUST-00733,2025-11-07 15:00:00,general,medium,resolved,26.8,Question about service availability at a new address.
TKT-004428,CUST-00193,2025-11-24 15:00:00,technical,critical,resolved,1.1,Intermittent internet connectivity — customer reports frequent drops.
TKT-004429,CUST-03442,2025-05-22 09:00:00,cancellation,medium,resolved,13.5,Customer threatening to cancel unless given a better rate.
TKT-004430,CUST-02803,2025-06-16 17:00:00,billing,low,escalated,,Request to change billing date to align with pay schedule.
TKT-004431,CUST-01619,2025-08-23 19:00:00,general,medium,escalated,,General inquiry about contract renewal terms.
TKT-004432,CUST-02337,2025-08-14 11:00:00,billing,medium,resolved,75.4,Customer inquired about unexpected charge on their latest bill.
TKT-004433,CUST-04149,2025-01-24 14:00:00,general,low,resolved,56.7,Request for copy of service agreement.
TKT-004434,CUST-02560,2025-12-08 08:00:00,billing,medium,resolved,7.9,Customer confused about taxes and surcharges on bill.
TKT-004435,CUST-03063,2025-05-18 14:00:00,technical,medium,resolved,10.6,DNS resolution failures reported across multiple devices.
TKT-004436,CUST-04068,2025-05-01 08:00:00,general,medium,resolved,24.1,General inquiry about contract renewal terms.
TKT-004437,CUST-00947,2025-11-12 13:00:00,billing,medium,resolved,45.6,Request to change billing date to align with pay schedule.
TKT-004438,CUST-01956,2025-03-11 18:00:00,billing,medium,resolved,1.6,Customer inquired about unexpected charge on their latest bill.
TKT-004439,CUST-03557,2025-05-05 13:00:00,billing,medium,escalated,,Request to change billing date to align with pay schedule.
TKT-004440,CUST-03045,2025-02-18 11:00:00,billing,high,resolved,14.5,Customer requesting breakdown of charges on monthly statement.
TKT-004441,CUST-03535,2025-03-29 18:00:00,upgrade,low,resolved,28.5,Inquiry about bundle discount for adding mobile service.
TKT-004442,CUST-01384,2025-10-30 12:00:00,technical,medium,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-004443,CUST-01589,2025-02-12 14:00:00,cancellation,medium,resolved,7.8,Customer threatening to cancel unless given a better rate.
TKT-004444,CUST-02659,2025-04-01 11:00:00,cancellation,critical,open,,Customer frustrated with service quality and wants to terminate.
TKT-004445,CUST-04264,2025-02-02 09:00:00,billing,critical,resolved,5.2,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-004446,CUST-04591,2025-04-30 14:00:00,general,medium,open,,Customer asking about available loyalty rewards.
TKT-004447,CUST-02084,2025-11-22 16:00:00,technical,low,resolved,18.0,DNS resolution failures reported across multiple devices.
TKT-004448,CUST-00066,2025-05-24 16:00:00,billing,medium,resolved,7.1,Customer confused about taxes and surcharges on bill.
TKT-004449,CUST-03303,2025-01-21 12:00:00,billing,low,escalated,,Customer asking about proration after mid-cycle plan change.
TKT-004450,CUST-02620,2025-03-28 18:00:00,billing,high,resolved,7.6,Customer asking about proration after mid-cycle plan change.
TKT-004451,CUST-03459,2025-05-08 11:00:00,technical,high,open,,Customer unable to stream video — buffering issues during peak hours.
TKT-004452,CUST-04804,2025-12-29 08:00:00,cancellation,medium,resolved,1.6,Requesting cancellation due to pricing — found cheaper alternative.
TKT-004453,CUST-02087,2025-12-04 17:00:00,general,critical,escalated,,General inquiry about contract renewal terms.
TKT-004454,CUST-00226,2025-04-16 15:00:00,technical,low,resolved,11.4,VoIP call quality degradation — choppy audio and latency.
TKT-004455,CUST-01871,2025-01-25 16:00:00,technical,high,resolved,10.7,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004456,CUST-00512,2025-07-25 18:00:00,technical,critical,resolved,16.6,Router not connecting after power outage — needs reset instructions.
TKT-004457,CUST-02682,2025-11-07 18:00:00,general,medium,escalated,,General inquiry about contract renewal terms.
TKT-004458,CUST-03841,2025-04-05 19:00:00,general,critical,resolved,20.5,Customer requesting update to account contact information.
TKT-004459,CUST-01340,2025-06-11 18:00:00,cancellation,high,resolved,17.1,Customer threatening to cancel unless given a better rate.
TKT-004460,CUST-01329,2025-01-23 15:00:00,general,low,resolved,21.0,Question about service availability at a new address.
TKT-004461,CUST-04037,2025-01-03 19:00:00,billing,low,resolved,3.1,Payment processing error reported — double charge on credit card.
TKT-004462,CUST-03713,2025-03-02 18:00:00,billing,medium,open,,Customer inquired about unexpected charge on their latest bill.
TKT-004463,CUST-01156,2025-12-16 16:00:00,general,medium,resolved,9.8,Question about service availability at a new address.
TKT-004464,CUST-02307,2025-09-06 17:00:00,cancellation,critical,escalated,,Customer frustrated with service quality and wants to terminate.
TKT-004465,CUST-00164,2025-10-02 16:00:00,technical,low,resolved,24.0,VoIP call quality degradation — choppy audio and latency.
TKT-004466,CUST-03236,2025-07-11 16:00:00,general,low,open,,Request for copy of service agreement.
TKT-004467,CUST-02727,2025-03-08 19:00:00,technical,high,resolved,11.7,Router not connecting after power outage — needs reset instructions.
TKT-004468,CUST-02892,2025-06-12 19:00:00,billing,medium,open,,Customer asking about proration after mid-cycle plan change.
TKT-004469,CUST-02935,2025-04-27 17:00:00,general,medium,open,,Customer requesting update to account contact information.
TKT-004470,CUST-03556,2025-05-01 13:00:00,billing,high,escalated,,Customer inquired about unexpected charge on their latest bill.
TKT-004471,CUST-02717,2025-09-23 08:00:00,cancellation,high,resolved,11.2,Customer threatening to cancel unless given a better rate.
TKT-004472,CUST-03098,2025-10-08 09:00:00,billing,critical,escalated,,Request to change billing date to align with pay schedule.
TKT-004473,CUST-02562,2025-12-20 18:00:00,technical,low,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-004474,CUST-02553,2025-09-28 19:00:00,technical,high,open,,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004475,CUST-03379,2025-10-18 10:00:00,upgrade,medium,resolved,2.4,Inquiry about adding streaming package to current plan.
TKT-004476,CUST-01698,2025-02-22 10:00:00,technical,medium,resolved,14.3,Customer unable to stream video — buffering issues during peak hours.
TKT-004477,CUST-03740,2025-04-01 08:00:00,billing,medium,open,,Payment processing error reported — double charge on credit card.
TKT-004478,CUST-04365,2025-08-10 16:00:00,technical,medium,resolved,4.7,VoIP call quality degradation — choppy audio and latency.
TKT-004479,CUST-02855,2025-09-27 16:00:00,cancellation,high,resolved,11.7,Requesting cancellation due to pricing — found cheaper alternative.
TKT-004480,CUST-03057,2025-06-01 12:00:00,technical,medium,resolved,31.3,Router not connecting after power outage — needs reset instructions.
TKT-004481,CUST-02025,2025-10-11 15:00:00,cancellation,high,resolved,15.9,Customer frustrated with service quality and wants to terminate.
TKT-004482,CUST-02315,2025-02-07 18:00:00,cancellation,critical,resolved,47.5,Customer frustrated with service quality and wants to terminate.
TKT-004483,CUST-03646,2025-12-30 16:00:00,cancellation,critical,resolved,15.8,Account cancellation requested — switching to competitor.
TKT-004484,CUST-03822,2025-04-06 14:00:00,technical,high,resolved,25.7,VoIP call quality degradation — choppy audio and latency.
TKT-004485,CUST-04904,2025-03-23 14:00:00,upgrade,high,resolved,6.8,Customer wants to upgrade from DSL to fiber optic service.
TKT-004486,CUST-00320,2025-07-25 18:00:00,upgrade,low,resolved,42.4,Inquiry about bundle discount for adding mobile service.
TKT-004487,CUST-01164,2025-06-04 15:00:00,billing,medium,resolved,6.6,Customer inquired about unexpected charge on their latest bill.
TKT-004488,CUST-03684,2025-11-27 18:00:00,billing,low,resolved,42.2,Request to change billing date to align with pay schedule.
TKT-004489,CUST-00516,2025-03-28 13:00:00,cancellation,medium,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-004490,CUST-02122,2025-09-19 12:00:00,general,critical,resolved,63.8,Customer requesting update to account contact information.
TKT-004491,CUST-01388,2025-03-19 10:00:00,cancellation,high,resolved,9.0,Cancellation request — customer relocating out of service area.
TKT-004492,CUST-01310,2025-02-17 11:00:00,general,low,escalated,,General inquiry about contract renewal terms.
TKT-004493,CUST-02456,2025-12-23 12:00:00,billing,low,resolved,36.8,Late fee dispute — customer says payment was submitted on time.
TKT-004494,CUST-03865,2025-05-29 13:00:00,technical,low,resolved,14.2,VoIP call quality degradation — choppy audio and latency.
TKT-004495,CUST-00716,2025-01-21 09:00:00,technical,medium,escalated,,Intermittent internet connectivity — customer reports frequent drops.
TKT-004496,CUST-03600,2025-10-17 15:00:00,technical,high,resolved,6.7,Router not connecting after power outage — needs reset instructions.
TKT-004497,CUST-01644,2025-01-29 14:00:00,technical,high,resolved,70.7,Customer unable to stream video — buffering issues during peak hours.
TKT-004498,CUST-00333,2025-05-08 10:00:00,upgrade,low,resolved,15.4,Customer exploring premium channel add-on options.
TKT-004499,CUST-00336,2025-08-14 16:00:00,upgrade,low,resolved,23.2,Inquiry about adding streaming package to current plan.
TKT-004500,CUST-02789,2025-01-24 14:00:00,technical,medium,escalated,,Intermittent internet connectivity — customer reports frequent drops.
TKT-004501,CUST-02949,2025-09-11 15:00:00,billing,medium,resolved,33.6,Payment processing error reported — double charge on credit card.
TKT-004502,CUST-04000,2025-12-22 17:00:00,general,low,escalated,,General inquiry about contract renewal terms.
TKT-004503,CUST-00169,2025-12-24 14:00:00,technical,low,resolved,1.1,Intermittent internet connectivity — customer reports frequent drops.
TKT-004504,CUST-01036,2025-04-16 14:00:00,general,medium,resolved,40.0,Question about service availability at a new address.
TKT-004505,CUST-02203,2025-09-26 09:00:00,billing,critical,resolved,3.4,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-004506,CUST-04706,2025-02-15 11:00:00,general,medium,resolved,88.5,Request for copy of service agreement.
TKT-004507,CUST-03322,2025-07-21 17:00:00,general,low,open,,Customer inquiring about referral program benefits.
TKT-004508,CUST-00930,2025-09-14 13:00:00,technical,medium,resolved,44.2,DNS resolution failures reported across multiple devices.
TKT-004509,CUST-02428,2025-05-01 13:00:00,upgrade,medium,open,,Inquiry about adding streaming package to current plan.
TKT-004510,CUST-04482,2025-06-10 13:00:00,general,low,escalated,,Request for copy of service agreement.
TKT-004511,CUST-00085,2025-05-25 14:00:00,technical,high,resolved,15.7,VoIP call quality degradation — choppy audio and latency.
TKT-004512,CUST-02395,2025-08-04 12:00:00,technical,critical,resolved,10.1,Customer unable to stream video — buffering issues during peak hours.
TKT-004513,CUST-03648,2025-11-18 18:00:00,technical,high,resolved,41.7,Customer unable to stream video — buffering issues during peak hours.
TKT-004514,CUST-03162,2025-07-13 17:00:00,cancellation,high,resolved,49.8,Customer frustrated with service quality and wants to terminate.
TKT-004515,CUST-02369,2025-07-03 09:00:00,technical,low,resolved,45.3,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004516,CUST-03030,2025-04-06 14:00:00,cancellation,high,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-004517,CUST-03037,2025-11-24 18:00:00,technical,medium,escalated,,VoIP call quality degradation — choppy audio and latency.
TKT-004518,CUST-00283,2025-03-09 17:00:00,general,low,escalated,,General inquiry about contract renewal terms.
TKT-004519,CUST-02053,2025-04-27 19:00:00,billing,medium,resolved,15.1,Customer confused about taxes and surcharges on bill.
TKT-004520,CUST-03150,2025-04-03 13:00:00,technical,medium,resolved,10.0,DNS resolution failures reported across multiple devices.
TKT-004521,CUST-04390,2025-04-14 08:00:00,general,low,open,,Customer requesting update to account contact information.
TKT-004522,CUST-00933,2025-09-20 12:00:00,general,critical,open,,General inquiry about contract renewal terms.
TKT-004523,CUST-02620,2025-12-06 16:00:00,technical,medium,resolved,82.1,Email service not syncing on mobile device.
TKT-004524,CUST-00022,2025-02-26 09:00:00,general,low,escalated,,Request for copy of service agreement.
TKT-004525,CUST-04636,2025-09-08 10:00:00,upgrade,high,resolved,4.3,Inquiry about bundle discount for adding mobile service.
TKT-004526,CUST-02943,2025-09-23 17:00:00,technical,medium,resolved,26.2,Intermittent internet connectivity — customer reports frequent drops.
TKT-004527,CUST-02043,2025-10-18 19:00:00,technical,high,resolved,15.0,DNS resolution failures reported across multiple devices.
TKT-004528,CUST-02963,2025-01-18 16:00:00,billing,high,resolved,3.2,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-004529,CUST-03353,2025-03-02 08:00:00,billing,medium,escalated,,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-004530,CUST-03363,2025-09-12 13:00:00,technical,low,open,,VoIP call quality degradation — choppy audio and latency.
TKT-004531,CUST-03370,2025-09-11 09:00:00,technical,high,open,,Router not connecting after power outage — needs reset instructions.
TKT-004532,CUST-03791,2025-03-14 14:00:00,technical,medium,resolved,13.5,DNS resolution failures reported across multiple devices.
TKT-004533,CUST-02060,2025-02-04 15:00:00,technical,medium,resolved,5.3,Intermittent internet connectivity — customer reports frequent drops.
TKT-004534,CUST-03893,2025-07-07 19:00:00,technical,low,resolved,16.3,Customer unable to stream video — buffering issues during peak hours.
TKT-004535,CUST-02205,2025-01-24 09:00:00,billing,medium,escalated,,Dispute over billing amount — customer claims overcharge for current cycle.
TKT-004536,CUST-00096,2025-07-27 17:00:00,technical,high,resolved,3.0,Customer unable to stream video — buffering issues during peak hours.
TKT-004537,CUST-00388,2025-10-12 14:00:00,technical,high,resolved,31.2,Email service not syncing on mobile device.
TKT-004538,CUST-00602,2025-11-08 14:00:00,cancellation,medium,resolved,10.6,Customer wants to cancel service — moving to a new provider.
TKT-004539,CUST-04720,2025-09-13 16:00:00,technical,high,resolved,13.0,Router not connecting after power outage — needs reset instructions.
TKT-004540,CUST-02535,2025-05-19 08:00:00,general,medium,escalated,,Customer requesting update to account contact information.
TKT-004541,CUST-03015,2025-02-10 18:00:00,upgrade,medium,resolved,46.1,Customer wants to upgrade from DSL to fiber optic service.
TKT-004542,CUST-00514,2025-03-25 11:00:00,billing,low,resolved,23.6,Customer requesting breakdown of charges on monthly statement.
TKT-004543,CUST-04550,2025-05-06 13:00:00,general,medium,resolved,11.8,Customer requesting update to account contact information.
TKT-004544,CUST-00035,2025-05-30 11:00:00,upgrade,medium,resolved,19.1,Customer wants to upgrade from DSL to fiber optic service.
TKT-004545,CUST-01578,2025-01-03 08:00:00,technical,low,resolved,9.8,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004546,CUST-04014,2025-10-24 14:00:00,technical,high,resolved,3.0,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004547,CUST-01571,2025-05-09 09:00:00,technical,critical,resolved,8.2,Customer unable to stream video — buffering issues during peak hours.
TKT-004548,CUST-00079,2025-11-19 11:00:00,general,low,resolved,17.8,General inquiry about contract renewal terms.
TKT-004549,CUST-00899,2025-09-12 14:00:00,billing,low,resolved,31.4,Payment processing error reported — double charge on credit card.
TKT-004550,CUST-03388,2025-04-13 12:00:00,upgrade,critical,resolved,4.0,Inquiry about bundle discount for adding mobile service.
TKT-004551,CUST-04702,2025-06-16 13:00:00,general,medium,resolved,98.6,Customer asking about available loyalty rewards.
TKT-004552,CUST-04924,2025-03-19 12:00:00,general,low,open,,Question about service availability at a new address.
TKT-004553,CUST-01515,2025-12-24 19:00:00,upgrade,low,resolved,33.0,Inquiry about bundle discount for adding mobile service.
TKT-004554,CUST-00211,2025-07-03 13:00:00,billing,low,escalated,,Payment processing error reported — double charge on credit card.
TKT-004555,CUST-04734,2025-10-13 19:00:00,general,medium,open,,General inquiry about contract renewal terms.
TKT-004556,CUST-04255,2025-01-04 17:00:00,technical,medium,resolved,7.1,Email service not syncing on mobile device.
TKT-004557,CUST-02858,2025-08-23 18:00:00,technical,medium,resolved,93.4,VoIP call quality degradation — choppy audio and latency.
TKT-004558,CUST-04828,2025-08-14 16:00:00,technical,low,open,,DNS resolution failures reported across multiple devices.
TKT-004559,CUST-01916,2025-01-04 14:00:00,general,medium,open,,Customer inquiring about referral program benefits.
TKT-004560,CUST-02253,2025-08-06 19:00:00,general,medium,resolved,98.3,General inquiry about contract renewal terms.
TKT-004561,CUST-04168,2025-06-08 15:00:00,technical,medium,resolved,1.8,Customer unable to stream video — buffering issues during peak hours.
TKT-004562,CUST-03147,2025-05-20 10:00:00,cancellation,medium,resolved,11.4,Customer frustrated with service quality and wants to terminate.
TKT-004563,CUST-00012,2025-01-09 14:00:00,technical,medium,escalated,,DNS resolution failures reported across multiple devices.
TKT-004564,CUST-02348,2025-07-17 12:00:00,upgrade,high,resolved,66.1,Inquiry about adding streaming package to current plan.
TKT-004565,CUST-00158,2025-11-29 09:00:00,billing,low,resolved,2.5,Customer confused about taxes and surcharges on bill.
TKT-004566,CUST-00191,2025-02-23 19:00:00,technical,high,resolved,7.6,Router not connecting after power outage — needs reset instructions.
TKT-004567,CUST-02144,2025-05-27 16:00:00,billing,medium,resolved,6.7,Late fee dispute — customer says payment was submitted on time.
TKT-004568,CUST-00361,2025-06-24 10:00:00,billing,high,resolved,33.1,Request to change billing date to align with pay schedule.
TKT-004569,CUST-02702,2025-08-30 12:00:00,billing,high,resolved,20.3,Customer inquired about unexpected charge on their latest bill.
TKT-004570,CUST-00274,2025-01-11 15:00:00,technical,medium,resolved,11.8,Customer unable to stream video — buffering issues during peak hours.
TKT-004571,CUST-03994,2025-08-10 10:00:00,general,medium,resolved,8.4,Customer asking about available loyalty rewards.
TKT-004572,CUST-00083,2025-02-20 16:00:00,general,medium,open,,Request for copy of service agreement.
TKT-004573,CUST-01298,2025-04-14 16:00:00,technical,medium,escalated,,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004574,CUST-01178,2025-11-24 08:00:00,upgrade,high,resolved,18.1,Inquiry about bundle discount for adding mobile service.
TKT-004575,CUST-03198,2025-03-07 08:00:00,billing,low,resolved,122.8,Payment processing error reported — double charge on credit card.
TKT-004576,CUST-01172,2025-04-30 13:00:00,technical,high,resolved,21.1,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004577,CUST-02580,2025-03-16 17:00:00,upgrade,low,open,,Customer interested in upgrading to a faster internet tier.
TKT-004578,CUST-01501,2025-06-24 12:00:00,technical,medium,open,,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004579,CUST-00541,2025-07-18 16:00:00,general,medium,escalated,,General inquiry about contract renewal terms.
TKT-004580,CUST-01708,2025-10-25 18:00:00,billing,high,escalated,,Request to change billing date to align with pay schedule.
TKT-004581,CUST-04943,2025-08-03 17:00:00,upgrade,medium,resolved,7.2,Customer interested in upgrading to a faster internet tier.
TKT-004582,CUST-02880,2025-10-24 10:00:00,technical,medium,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-004583,CUST-01564,2025-04-22 09:00:00,upgrade,high,resolved,123.8,Request to add international calling to phone plan.
TKT-004584,CUST-04439,2025-06-08 17:00:00,technical,medium,resolved,11.7,Customer unable to stream video — buffering issues during peak hours.
TKT-004585,CUST-03846,2025-09-23 10:00:00,technical,medium,resolved,27.0,Intermittent internet connectivity — customer reports frequent drops.
TKT-004586,CUST-02036,2025-02-14 09:00:00,general,medium,resolved,17.2,General inquiry about contract renewal terms.
TKT-004587,CUST-04782,2025-02-17 15:00:00,technical,high,escalated,,Router not connecting after power outage — needs reset instructions.
TKT-004588,CUST-01452,2025-03-26 11:00:00,billing,critical,escalated,,Payment processing error reported — double charge on credit card.
TKT-004589,CUST-04450,2025-10-01 18:00:00,billing,low,open,,Request to change billing date to align with pay schedule.
TKT-004590,CUST-00334,2025-02-28 12:00:00,billing,medium,resolved,12.8,Customer confused about taxes and surcharges on bill.
TKT-004591,CUST-04800,2025-03-22 18:00:00,technical,critical,escalated,,Email service not syncing on mobile device.
TKT-004592,CUST-04145,2025-01-22 14:00:00,upgrade,low,resolved,14.8,Customer exploring premium channel add-on options.
TKT-004593,CUST-03102,2025-06-17 09:00:00,technical,low,escalated,,VoIP call quality degradation — choppy audio and latency.
TKT-004594,CUST-03426,2025-10-30 16:00:00,billing,medium,escalated,,Request to change billing date to align with pay schedule.
TKT-004595,CUST-00730,2025-03-10 08:00:00,billing,low,resolved,8.6,Customer inquired about unexpected charge on their latest bill.
TKT-004596,CUST-04835,2025-05-23 13:00:00,technical,high,open,,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004597,CUST-02897,2025-08-27 12:00:00,general,high,open,,Customer inquiring about referral program benefits.
TKT-004598,CUST-01212,2025-01-01 14:00:00,general,medium,escalated,,Customer requesting update to account contact information.
TKT-004599,CUST-04386,2025-08-19 18:00:00,general,medium,open,,Customer inquiring about referral program benefits.
TKT-004600,CUST-01011,2025-11-25 17:00:00,general,high,resolved,21.4,Customer asking about available loyalty rewards.
TKT-004601,CUST-02485,2025-12-06 14:00:00,general,high,resolved,27.2,Customer requesting update to account contact information.
TKT-004602,CUST-03558,2025-06-14 11:00:00,cancellation,high,escalated,,Requesting cancellation due to pricing — found cheaper alternative.
TKT-004603,CUST-02213,2025-09-19 15:00:00,general,high,resolved,10.4,Customer asking about available loyalty rewards.
TKT-004604,CUST-02052,2025-08-23 13:00:00,billing,medium,resolved,36.6,Late fee dispute — customer says payment was submitted on time.
TKT-004605,CUST-00530,2025-07-18 19:00:00,technical,medium,resolved,1.6,VoIP call quality degradation — choppy audio and latency.
TKT-004606,CUST-04608,2025-11-26 10:00:00,technical,high,resolved,11.8,Intermittent internet connectivity — customer reports frequent drops.
TKT-004607,CUST-00846,2025-01-25 14:00:00,billing,high,resolved,27.0,Customer confused about taxes and surcharges on bill.
TKT-004608,CUST-02381,2025-01-31 08:00:00,billing,critical,resolved,12.4,Customer asking about proration after mid-cycle plan change.
TKT-004609,CUST-04007,2025-09-12 15:00:00,cancellation,critical,open,,Customer frustrated with service quality and wants to terminate.
TKT-004610,CUST-01045,2025-08-14 10:00:00,technical,low,resolved,21.4,Router not connecting after power outage — needs reset instructions.
TKT-004611,CUST-00236,2025-04-18 13:00:00,cancellation,critical,escalated,,Account cancellation requested — switching to competitor.
TKT-004612,CUST-02915,2025-05-29 14:00:00,general,medium,escalated,,Request for copy of service agreement.
TKT-004613,CUST-01552,2025-07-30 12:00:00,upgrade,low,escalated,,Inquiry about adding streaming package to current plan.
TKT-004614,CUST-03098,2025-09-08 19:00:00,billing,high,resolved,8.6,Customer inquired about unexpected charge on their latest bill.
TKT-004615,CUST-04023,2025-10-29 18:00:00,general,low,escalated,,General inquiry about contract renewal terms.
TKT-004616,CUST-04989,2025-02-05 15:00:00,billing,high,resolved,62.3,Customer requesting breakdown of charges on monthly statement.
TKT-004617,CUST-01803,2025-05-27 16:00:00,general,high,resolved,28.5,Customer requesting update to account contact information.
TKT-004618,CUST-00578,2025-01-18 08:00:00,billing,low,escalated,,Payment processing error reported — double charge on credit card.
TKT-004619,CUST-02441,2025-09-26 08:00:00,billing,high,open,,Customer requesting breakdown of charges on monthly statement.
TKT-004620,CUST-00648,2025-10-24 09:00:00,upgrade,medium,resolved,1.5,Customer wants to upgrade from DSL to fiber optic service.
TKT-004621,CUST-02398,2025-01-18 17:00:00,cancellation,medium,resolved,6.8,Cancellation request — customer relocating out of service area.
TKT-004622,CUST-00235,2025-12-07 14:00:00,billing,high,escalated,,Late fee dispute — customer says payment was submitted on time.
TKT-004623,CUST-02304,2025-03-12 18:00:00,upgrade,low,escalated,,Customer interested in upgrading to a faster internet tier.
TKT-004624,CUST-04246,2025-11-20 11:00:00,general,low,escalated,,General inquiry about contract renewal terms.
TKT-004625,CUST-01797,2025-10-15 09:00:00,technical,low,resolved,15.9,Slow download speeds not matching subscribed plan tier.
TKT-004626,CUST-01741,2025-05-12 14:00:00,cancellation,critical,resolved,54.2,Requesting cancellation due to pricing — found cheaper alternative.
TKT-004627,CUST-02507,2025-06-08 09:00:00,technical,low,escalated,,Slow download speeds not matching subscribed plan tier.
TKT-004628,CUST-00158,2025-12-23 12:00:00,cancellation,critical,escalated,,Customer wants to cancel service — moving to a new provider.
TKT-004629,CUST-00113,2025-11-30 15:00:00,cancellation,low,escalated,,Customer frustrated with service quality and wants to terminate.
TKT-004630,CUST-02446,2025-01-04 13:00:00,billing,high,open,,Customer requesting breakdown of charges on monthly statement.
TKT-004631,CUST-01197,2025-09-09 17:00:00,general,low,resolved,8.8,Customer asking about available loyalty rewards.
TKT-004632,CUST-04248,2025-03-20 16:00:00,general,low,resolved,92.4,Customer asking about available loyalty rewards.
TKT-004633,CUST-04151,2025-09-22 15:00:00,general,medium,resolved,26.2,Customer asking about available loyalty rewards.
TKT-004634,CUST-03668,2025-07-01 09:00:00,cancellation,medium,resolved,1.1,Customer wants to cancel service — moving to a new provider.
TKT-004635,CUST-01661,2025-06-05 16:00:00,general,medium,resolved,6.0,Customer requesting update to account contact information.
TKT-004636,CUST-01454,2025-06-25 19:00:00,technical,low,resolved,6.1,Email service not syncing on mobile device.
TKT-004637,CUST-04464,2025-09-27 14:00:00,technical,low,escalated,,Customer unable to stream video — buffering issues during peak hours.
TKT-004638,CUST-04434,2025-09-24 09:00:00,cancellation,high,escalated,,Customer threatening to cancel unless given a better rate.
TKT-004639,CUST-00351,2025-12-08 15:00:00,cancellation,high,open,,Customer frustrated with service quality and wants to terminate.
TKT-004640,CUST-02762,2025-06-16 15:00:00,cancellation,high,resolved,47.5,Account cancellation requested — switching to competitor.
TKT-004641,CUST-01759,2025-05-17 18:00:00,cancellation,critical,resolved,9.7,Requesting cancellation due to pricing — found cheaper alternative.
TKT-004642,CUST-01270,2025-06-09 15:00:00,cancellation,high,escalated,,Account cancellation requested — switching to competitor.
TKT-004643,CUST-03042,2025-06-06 18:00:00,general,high,escalated,,Customer asking about available loyalty rewards.
TKT-004644,CUST-01153,2025-11-25 17:00:00,billing,low,resolved,35.5,Request to change billing date to align with pay schedule.
TKT-004645,CUST-04233,2025-03-09 08:00:00,general,medium,resolved,46.2,Customer inquiring about referral program benefits.
TKT-004646,CUST-03277,2025-10-17 08:00:00,billing,medium,resolved,18.3,Customer confused about taxes and surcharges on bill.
TKT-004647,CUST-01277,2025-11-24 17:00:00,general,low,resolved,43.6,General inquiry about contract renewal terms.
TKT-004648,CUST-00090,2025-11-25 16:00:00,cancellation,critical,resolved,6.5,Customer frustrated with service quality and wants to terminate.
TKT-004649,CUST-04501,2025-10-26 13:00:00,technical,medium,escalated,,Wi-Fi signal weak in parts of the home — requesting range extender.
TKT-004650,CUST-04980,2025-08-18 16:00:00,technical,low,resolved,22.7,Slow download speeds not matching subscribed plan tier.
